5600	0.99982146	1.099783971	1.199742912	1.299698284	1.499598322	1.599542988	1.799421614
6200	0.999838736	1.099804873	1.199767787	1.299727476	1.499637185	1.599587203	1.799477571
6800	0.999852963	1.099822088	1.199788273	1.299751518	1.499669191	1.599623618	1.799523656
7500	0.999866684	1.09983869	1.199808031	1.299774706	1.49970006	1.599658739	1.799568104
8200	0.999878064	1.099852459	1.199824416	1.299793935	1.49972566	1.599687866	1.799604965
9100	0.999890122	1.099867049	1.199841779	1.299814312	1.499752788	1.599718731	1.799644026
10000	0.99990001	1.099879013	1.199856017	1.299831022	1.499775034	1.599744041	1.799676058
11000	0.999909099	1.099890011	1.199869105	1.299846382	1.499795482	1.599767307	1.799705503
12000	0.999916674	1.099899176	1.199880012	1.299859182	1.499812523	1.599786695	1.79973004
13000	0.999923083	1.099906931	1.199889241	1.299870013	1.499826943	1.599803101	1.799750804
15000	0.999933338	1.099919339	1.199904008	1.299887343	1.499850015	1.599829352	1.799784026
16000	0.999937504	1.09992438	1.199910007	1.299894384	1.499859388	1.599840016	1.799797523
18000	0.999944448	1.099932782	1.199920005	1.299906118	1.49987501	1.59985779	1.799820018
20000	0.999950002	1.099939503	1.199928004	1.299915505	1.499887508	1.59987201	1.799838015
22000	0.999954548	1.099945003	1.199934549	1.299923186	1.499897734	1.599883645	1.799852739
24000	0.999958335	1.099949586	1.199940003	1.299929587	1.499906256	1.59989334	1.79986501
27000	0.999962964	1.099955187	1.199946669	1.29993741	1.499916671	1.599905191	1.799880008
30000	0.999966668	1.099959668	1.199952002	1.299943669	1.499925004	1.599914671	1.799892006
33000	0.999969698	1.099963335	1.199956365	1.29994879	1.499931821	1.599922428	1.799901824
36000	0.999972223	1.09996639	1.199960001	1.299953057	1.499937503	1.599928892	1.799910004
39000	0.99997436	1.099968975	1.199963078	1.299956668	1.49994231	1.599934362	1.799916927
43000	0.999976745	1.099971861	1.199966513	1.299960699	1.499947676	1.599940467	1.799924654
47000	0.999978724	1.099974256	1.199969362	1.299964044	1.499952129	1.599945534	1.799931066
51000	0.999980393	1.099976275	1.199971765	1.299966864	1.499955884	1.599949805	1.799936473
56000	0.999982143	1.099978393	1.199974286	1.299969822	1.499959823	1.599954287	1.799942145
62000	0.999983871	1.099980484	1.199976775	1.299972743	1.499963711	1.599958711	1.799947743
68000	0.999985294	1.099982206	1.199978824	1.299975148	1.499966912	1.599962354	1.799952354
75000	0.999986667	1.099983867	1.1999808	1.299977467	1.499970001	1.599965867	1.799956801
82000	0.999987805	1.099985244	1.199982439	1.299979391	1.499972561	1.599968781	1.799960489
91000	0.999989011	1.099986703	1.199984176	1.299981429	1.499975275	1.599971869	1.799964396
100000	0.99999	  	 1.0999879	  1.1999856	1.2999831	1.4999775	1.5999744	1.799967601
110000	0.999990909	1.099989	1.199986909	1.299984637	1.499979546	1.599976728	1.799970546
120000	0.999991667	1.099989917	1.199988	1.299985917	1.49998125	1.599978667	1.799973
130000	0.999992308	1.099990692	1.199988923	1.299987	1.499982693	1.599980308	1.799975077
150000	0.999993333	1.099991933	1.1999904	1.299988733	1.499985	1.599982934	1.7999784
160000	0.99999375	1.099992438	1.199991	1.299989438	1.499985938	1.599984	1.79997975
180000	0.999994444	1.099993278	1.199992	1.299990611	1.4999875	1.599985778	1.799982
200000	0.999995	1.09999395	1.1999928	1.29999155	1.49998875	1.5999872	1.7999838
220000	0.999995455	1.0999945	1.199993455	1.299992318	1.499989773	1.599988364	1.799985273
240000	0.999995833	1.099994958	1.199994	1.299992958	1.499990625	1.599989333	1.7999865
270000	0.999996296	1.099995519	1.199994667	1.299993741	1.499991667	1.599990519	1.799988
300000	0.999996667	1.099995967	1.1999952	1.299994367	1.4999925	1.599991467	1.7999892
330000	0.99999697	1.099996333	1.199995636	1.299994879	1.499993182	1.599992242	1.799990182
360000	0.999997222	1.099996639	1.199996	1.299995306	1.49999375	1.599992889	1.799991
390000	0.999997436	1.099996897	1.199996308	1.299995667	1.499994231	1.599993436	1.799991692
430000	0.999997674	1.099997186	1.199996651	1.29999607	1.499994767	1.599994047	1.799992465
470000	0.999997872	1.099997426	1.199996936	1.299996404	1.499995213	1.599994553	1.799993106
510000	0.999998039	1.099997627	1.199997176	1.299996686	1.499995588	1.59999498	1.799993647
560000	0.999998214	1.099997839	1.199997429	1.299996982	1.499995982	1.599995429	1.799994214
620000	0.999998387	1.099998048	1.199997677	1.299997274	1.499996371	1.599995871	1.799994774
680000	0.999998529	1.099998221	1.199997882	1.299997515	1.499996691	1.599996235	1.799995235
750000	0.999998667	1.099998387	1.19999808	1.299997747	1.499997	1.599996587	1.79999568
820000	0.99999878	1.099998524	1.199998244	1.299997939	1.499997256	1.599996878	1.799996049
910000	0.999998901	1.09999867	1.199998418	1.299998143	1.499997527	1.599997187	1.79999644
1000000	0.999999	1.09999879	1.19999856	1.29999831	1.49999775	1.59999744	1.79999676
